ID,NM_DISTRITO,LONG,LAT,ID_ADJS
1064,ALENQUER,-54.7408623501896,-1.951397505,[]
1135,BANNACH,-50.4060471215195,-7.3510721924244,[]
1136,BARCARENA,-48.6270728925156,-1.505767005,[]
1151,BELÉM,-48.4878256874876,-1.459845,[]
1165,BELTERRA,-54.9426747393262,-2.64902016946856,[]
1167,BENEVIDES,-48.2418364505703,-1.361437515,[]
1174,BOM JESUS DO TOCANTINS,-48.5990399590615,-5.04736270432029,[]
1177,BONITO,-47.3058918168639,-1.36747435687254,[]
1180,BRAGANÇA,-46.765754213664,-1.05352395620564,[]
1212,BREU BRANCO,-49.5698796832857,-3.77813541287867,[]
1220,BREVES,-50.4808947990195,-1.6907365,[]
1229,BUJARU,-48.035875014396,-1.51399146230061,[]
1231,CACHOEIRA DO PIRIÁ,-46.5473914166255,-1.75289700493124,[]
1244,CACHOEIRA DO ARARI,-48.9606675773871,-1.00878626563928,[]
1248,CAMETÁ,-49.497830168997,-2.24683848,[]
1264,CANAÃ DOS CARAJÁS,-49.8489584319153,-6.5321966156294,[]
1203,BRASIL NOVO,-52.5434411922788,-3.29780370400837,[]
1209,BREJO GRANDE DO ARAGUAIA,-48.4057604223874,-5.70729615383609,[]
1405,ITUPIRANGA,-49.3244258612861,-5.12883702636091,[]
1418,JACAREACANGA,-57.7663398583794,-6.22355173138645,[]
1422,JACUNDÁ,-49.1127815625675,-4.448405475,[]
1424,JURUTI,-56.0949976884001,-2.155252995,[]
1427,LIMOEIRO DO AJURU,-49.3815339012019,-1.8919485,[]
1428,MÃE DO RIO,-47.5522901794773,-2.04770744079076,[]
1431,MAGALHÃES BARATA,-47.5991818964912,-0.795850156021161,[]
1437,MARABÁ,-49.1420253334067,-5.35260576313025,[]
1459,MARACANÃ,-47.4552679594076,-0.762419459981231,[]
1469,MARAPANIM,-47.7025487537677,-0.712150996347819,[]
1269,CAPANEMA,-47.1751261231344,-1.192441995,[]
1273,CAPITÃO POÇO,-47.0628253774009,-1.74618729323752,[]
1285,CASTANHAL,-47.9266431419442,-1.29575680504525,[]
1294,CHAVES,-49.9893186050714,-0.162437290121912,[]
1296,COLARES,-48.2887284319494,-0.932091243957739,[]
1303,CONCEIÇÃO DO ARAGUAIA,-49.2645008124957,-8.26486353,[]
1307,CONCÓRDIA DO PARÁ,-47.9498869390047,-1.98452146277275,[]
1308,CUMARU DO NORTE,-50.7715783775131,-7.81110653689927,[]
1312,CURIONÓPOLIS,-49.6022142249504,-6.09681995220666,[]
1315,CURRALINHO,-49.7915228470854,-1.80942341966693,[]
1317,CURUÁ,-55.1196786087308,-1.88992870430549,[]
1320,CURUÇÁ,-47.8512650859352,-0.73249551,[]
1338,DOM ELISEU,-47.5559148859934,-4.29077772,[]
1342,ELDORADO DOS CARAJÁS,-49.3739519421522,-6.10352516107139,[]
1349,FARO,-56.745753017307,-2.17297524194977,[]
1352,FLORESTA DO ARAGUAIA,-49.6975784122373,-7.55870087237008,[]
1357,GARRAFÃO DO NORTE,-47.0450460172973,-1.93169704310669,[]
1364,GOIANÉSIA DO PARÁ,-49.1010449237426,-3.842468,[]
1367,GURUPÁ,-51.6436957233941,-1.404918,[]
1369,IGARAPÉ-AÇU,-47.6223754920271,-1.124322,[]
1376,IGARAPÉ-MIRI,-48.9622994689466,-1.983116,[]
1379,INHANGAPI,-47.9133927465885,-1.42658198091031,[]
1380,IPIXUNA DO PARÁ,-47.4997175887983,-2.5575285,[]
1385,IRITUIA,-47.4407556128483,-1.771474995,[]
1391,ITAITUBA,-55.9900488572777,-4.26372948,[]
1812,SOURE,-48.5160126622773,-0.7259255,[]
1814,TAILÂNDIA,-48.9512816295758,-2.9370795,[]
1820,TERRA ALTA,-47.9078083483744,-1.03482666361629,[]
1825,TERRA SANTA,-56.4909047722432,-2.10811447373903,[]
1826,TOMÉ-AÇU,-48.146896586572,-2.41936685526733,[]
1834,TRACUATEUA,-46.8994783371171,-1.06878405856835,[]
1839,TRAIRÃO,-55.9961700349273,-4.69981914969727,[]
1843,TUCUMÃ,-51.1395392466358,-6.74997200738229,[]
1481,MARITUBA,-48.340535877783,-1.3464172655758,[]
1482,MEDICILÂNDIA,-52.8883453507243,-3.44541741218688,[]
1491,MELGAÇO,-50.7174646976964,-1.803446698641,[]
1492,MOCAJUBA,-49.5090234612729,-2.58287297327153,[]
1495,MOJU,-48.7671991273719,-1.885889,[]
1500,MONTE ALEGRE,-54.073374725636,-2.003328,[]
1509,MUANÁ,-49.2168324424737,-1.5300262083549,[]
1513,NOVA ESPERANÇA DO PIRIÁ,-46.9620928836736,-2.2676259890313,[]
1517,NOVA IPIXUNA,-49.0798869380164,-4.92308630702649,[]
1519,NOVA TIMBOTEUA,-47.3932022764599,-1.20414364746687,[]
1523,NOVO PROGRESSO,-55.4198701179784,-7.03483591328812,[]
1526,NOVO REPARTIMENTO,-49.9486382443426,-4.2481485,[]
1544,ÓBIDOS,-55.5163235097126,-1.90923549588121,[]
1549,OEIRAS DO PARÁ,-49.8551061087735,-2.004734,[]
1551,ORIXIMINÁ,-55.8627995152359,-1.7637535,[]
1560,OURÉM,-47.1176193628501,-1.54894714230244,[]
1562,OURILÂNDIA DO NORTE,-51.0908327746816,-6.74061708637736,[]
1566,PACAJÁ,-50.6348408304298,-3.8303057037573,[]
1573,PALESTINA DO PARÁ,-48.3217937261637,-5.74993410622605,[]
1577,PARAGOMINAS,-47.3569615610519,-2.9941905,[]
1593,PARAUAPEBAS,-49.900780634297,-6.07272988763184,[]
1601,PAU D'ARCO,-50.0482755318998,-7.83679440397357,[]
1604,PEIXE-BOI,-47.3179270215591,-1.18956924075654,[]
1606,PIÇARRA,-48.8684006672187,-6.45367623455792,[]
1612,PLACAS,-54.2169681312654,-3.86731556213536,[]
1615,PONTA DE PEDRAS,-48.8717855600433,-1.3965999975235,[]
1618,PORTEL,-50.822490442211,-1.936451,[]
1620,PORTO DE MOZ,-52.2424769190201,-1.74609008880885,[]
1623,PRAINHA,-53.4818139407895,-1.8056945,[]
1628,PRIMAVERA,-47.1172512589126,-0.940111515930574,[]
1631,QUATIPURU,-47.006786993576,-0.900115853739325,[]
1634,REDENÇÃO,-50.0296418255093,-8.0276045,[]
1637,RIO MARIA,-50.0464108775224,-7.31111524468815,[]
1639,RONDON DO PARÁ,-48.0699737493982,-4.77782172703554,[]
1646,RURÓPOLIS,-54.9058622598691,-4.09906539,[]
1650,SALINÓPOLIS,-47.3531202631536,-0.623638,[]
1656,SALVATERRA,-48.5131865994469,-0.754525974353047,[]
1664,SANTA BÁRBARA DO PARÁ,-48.2977406497887,-1.22943946699244,[]
1674,SANTA CRUZ DO ARARI,-49.1716155661252,-0.659974125599254,[]
1676,SANTA ISABEL DO PARÁ,-48.1630599409531,-1.29739590129143,[]
1684,SANTA LUZIA DO PARÁ,-46.9061692026983,-1.51882789138752,[]
1694,SANTA MARIA DAS BARREIRAS,-49.7193518572257,-8.87055053969294,[]
1701,SANTA MARIA DO PARÁ,-47.5746954138091,-1.3478664592967,[]
